date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,bib
2024-08-07T09:51:40+02:00,TKWW49KG--------------8FNL000100--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1966502,KAFADAR Josipa,Person,CAN,Canada,0,POINTS,L,,113
2024-08-07T09:51:40+02:00,TKWW49KG--------------8FNL000100--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1569986,STOJKOVIC Lena,Person,CRO,Croatia,2,POINTS,W,,104
2024-08-07T10:32:23+02:00,TKWW49KG--------------8FNL000200--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1535367,SOUZA Daniela Paola,Person,MEX,Mexico,1,POINTS,L,,105
2024-08-07T10:32:23+02:00,TKWW49KG--------------8FNL000200--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1947739,DHAHRI Ikram,Person,TUN,Tunisia,2,POINTS,W,,112
2024-08-07T10:51:18+02:00,TKWW49KG--------------8FNL000300--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1909136,ABUTALEB Dunya Ali M,Person,KSA,Saudi Arabia,2,POINTS,W,,109
2024-08-07T10:51:18+02:00,TKWW49KG--------------8FNL000300--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1897227,SEMBERG Abishag,Person,ISR,Israel,1,POINTS,L,,108
2024-08-07T11:22:17+02:00,TKWW49KG--------------8FNL000400--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1902841,WONGPATTANAKIT Panipak,Person,THA,Thailand,2,POINTS,W,,101
2024-08-07T11:22:17+02:00,TKWW49KG--------------8FNL000400--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1541825,EL BOUCHTI Oumaima,Person,MAR,Morocco,0,POINTS,L,,117
2024-08-07T11:45:32+02:00,TKWW49KG--------------8FNL000500--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1917892,GRIPPOLI GAGLIARDO Maria Sara,Person,URU,Uruguay,0,POINTS,L,,115
2024-08-07T11:45:32+02:00,TKWW49KG--------------8FNL000500--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1546688,CEREZO IGLESIAS Adriana,Person,ESP,Spain,2,POINTS,W,,102
2024-08-07T12:11:07+02:00,TKWW49KG--------------8FNL000600--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1536064,NEMATZADEH Mobina,Person,IRI,IR Iran,2,POINTS,W,,107
2024-08-07T12:11:07+02:00,TKWW49KG--------------8FNL000600--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1560348,TAU Michelle,Person,LES,Lesotho,0,POINTS,L,,110
